filename,label,pitch_mean,pitch_std,pitch_range,tempo,onset_count,spectral_centroid,spectral_rolloff,zero_crossing_rate,rms_energy,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
clip_022.wav,1,505.03052,539.7242,3067.5593,[117.45383523],17,1364.08463363078,2432.0096529447114,0.0644268329326923,0.03947102,-331.98047,147.80133,-19.936922,23.700037,2.0972662,10.855777,-12.570043,-8.264889,-0.069848984,-17.500008,-8.527988,-2.9323945,-13.341094
clip_023.wav,1,500.86816,444.2821,3259.2231,[117.45383523],16,1396.8254598495084,2453.4600360576924,0.0671875,0.031248357,-364.8934,150.07295,-27.721537,17.294128,10.213499,13.97743,-9.50323,-8.637826,-2.3731263,-15.626385,-6.139009,-3.1631987,-10.997364
clip_024.wav,1,576.0061,668.3721,3264.6694,[172.265625],15,1531.1322304334728,2704.0733924278848,0.08505859375,0.04043998,-316.65237,147.52304,-31.378056,25.067158,-10.1093,8.606511,-12.797074,-6.286776,2.1210287,-18.861324,-10.291896,-0.19960777,-10.889957
clip_025.wav,1,577.5271,633.60565,3237.1394,[123.046875],18,1565.6181518656263,2879.2377178485576,0.08354867788461538,0.030545533,-349.64453,141.69699,-31.306234,32.889782,5.4452024,16.245512,-12.247957,-12.145044,-1.9993061,-13.98746,-6.2722025,-3.4127426,-11.653578
clip_026.wav,1,472.24088,635.41345,3833.2456,[151.99908088],16,1485.9622629885714,2722.210975060096,0.077880859375,0.042669356,-309.82172,146.77039,-24.354006,26.800842,-2.6066654,11.86817,-13.144843,-12.073624,-1.965641,-15.074203,-5.888285,2.497446,-14.701629
clip_027.wav,0,544.7174,424.65915,1684.0144,[161.49902344],18,1529.196091234654,2759.7284405048076,0.08212515024038461,0.033193726,-361.8048,143.1591,-24.355663,15.198047,2.2764368,13.5724745,-10.969658,-9.91602,-0.7575119,-15.244565,-8.343222,0.124213964,-10.563413
clip_028.wav,0,570.2129,773.43414,3310.1824,[95.703125],15,1551.9032532003216,2804.9481670673076,0.07964993990384615,0.03293808,-329.40732,139.2314,-19.498592,26.90891,-3.7895756,12.452984,-9.482096,-5.9379745,-3.38064,-17.004196,-5.919578,2.2724183,-13.9458475
clip_029.wav,0,417.53058,636.8902,3828.8936,[129.19921875],19,1452.5872189382678,2615.621619591346,0.0700420673076923,0.044897433,-297.1812,142.52734,-18.433289,44.51557,-2.6823647,12.992447,-18.01258,-13.578734,1.2490636,-17.128609,-18.637087,-2.7822251,-11.909887
clip_030.wav,1,597.48267,435.6394,1298.9259,[151.99908088],13,1509.2045813654845,2716.827674278846,0.07948843149038462,0.027341843,-381.03403,135.98428,-14.293784,11.206832,1.4283137,12.181989,-4.3484044,-9.8848295,-0.17989291,-10.439607,-4.54621,0.6484185,-8.63208
clip_031.wav,1,405.70938,524.8257,3818.0488,[112.34714674],16,1433.983349946815,2636.078162560096,0.06831430288461539,0.042160504,-317.71896,141.8726,-17.977015,32.826057,5.7346444,13.958551,-13.440063,-11.707178,-1.3969567,-16.473553,-8.648651,-2.7982545,-12.302066
clip_032.wav,0,497.55408,419.21902,2233.1094,[117.45383523],10,1303.9065972827316,2320.616736778846,0.06304837740384615,0.03646617,-354.93594,146.72424,-8.273887,18.681423,-12.435204,5.1136727,-0.6305239,-2.9525108,-0.38341582,-14.063814,-2.7790205,1.8572702,-10.117071
clip_033.wav,0,909.70935,924.597,3820.7546,[151.99908088],12,1966.7815508090937,3631.8231670673076,0.10090895432692308,0.020480813,-407.47885,109.54722,-20.570942,20.22273,1.4457043,17.427437,-1.6190965,-8.47969,0.4383356,-8.977762,-8.748728,0.35242814,-6.0634956
clip_034.wav,0,521.62775,531.06555,2198.4663,[151.99908088],12,1635.4621234718163,2996.5108548677886,0.08080679086538461,0.042176124,-322.33716,127.31103,-22.269686,27.773973,9.792406,22.859678,-9.16441,-19.183582,-4.1791577,-9.536464,-13.881805,-0.30667108,-11.6429405
clip_035.wav,1,659.8678,577.49756,3501.2886,[112.34714674],10,1504.9166628424487,2611.314978966346,0.07674654447115385,0.039264847,-362.29144,130.55186,-14.828816,12.196065,9.589251,20.614603,-3.1559973,-12.372901,-7.073746,-8.03215,-8.249614,-0.062884025,-8.043862
clip_036.wav,0,608.87775,705.45874,3126.878,[143.5546875],12,1633.1548568982778,2918.2459435096152,0.08228290264423077,0.04116931,-341.38425,120.085365,-21.190248,31.207085,14.562499,18.81307,-10.374753,-15.084709,-5.674243,-6.3461723,-10.983806,-5.5337224,-8.821052
clip_037.wav,1,515.4781,560.97437,3512.6301,[123.046875],18,1467.0548268219898,2621.004920372596,0.07391075721153846,0.045557994,-323.53024,144.67944,-15.580384,14.5780735,-1.7258066,22.827595,-6.43151,-20.054052,-5.882596,-5.7683153,-8.537042,-2.5567555,-3.8868127
clip_038.wav,1,843.9655,976.6787,3790.4385,[129.19921875],17,1773.1957902135769,3076.8462665264424,0.1005108173076923,0.03661539,-344.56497,112.97545,-19.16846,26.765568,10.369804,21.631002,-5.879429,-18.865877,-5.2642193,-6.8734617,-10.879565,-2.3386765,-10.037244
